indexA,addressA,indexB,addressB,score
4154,"D'parys, 45 De Parys Avenue Bedford, East of England, MK402UA",4002,"Bedford Park House, 59, De Parys Avenue, Bedford, , GB, East of England, MK402TR",0.5304
4221,"Wellington Park Hotel, 21 Malone Road Belfast, BT96RW",9736,"Number 11, 11, Malone Road, Belfast",0.582
4226,"Europa Hotel, Great Victoria Street Belfast, BT27AP",8613,"Fitzwilliam Hotel, 1-3, Great Victoria Street, Belfast, Antrim, BT27BQ",0.5526
4244,"Travelodge Belfast Central, 15 Brunswick Street Belfast, BT27GE",11329,"Grand Central Hotel, 9-15, Bedford Street, Belfast, BT27EG",0.5474
4246,"Jurys Inn Belfast, Great Victoria St Belfast, BT27AP",8613,"Fitzwilliam Hotel, 1-3, Great Victoria Street, Belfast, Antrim, BT27BQ",0.5653
4249,"The Fitzwilliam Hotel Belfast, Great Victoria Street Belfast Northern Ireland, BT27BQ",7538,"Europa Hotel, Great Victoria Street, Belfast, BT125EG",0.5305
4256,"Brookhill Serviced Apartments, 41 Eglantine Avenue ; Belfast, BT96EW",9303,"Malone Lodge Hotel Belfast, 60, Eglantine Avenue, Belfast",0.5973
4261,"Pearl Court Guesthouse, 11 Malone Road Belfast, BT96RT",7759,"Wellington Park Hotel, 21, Malone Road, Belfast, Antrim, BT96RU",0.5479
4352,"Dream Apartments The Gallery, 71 Dublin Road, Belfast, BT27JS",7367,"ETAP Hotel Belfast, 35-39, Dublin Road, Belfast, BT27HD",0.5269
4365,"Alfred St Apartment, Apt 80 Bass Buildings 38 Alfred St 38 Alfred Street, Belfast, BT28EA",3097,"Premier Inn, Alfred Street, Belfast, , United Kingdom, BT28ED",0.5
4448,"93 At Queens, Flat D 93 Eglantine Avenue, Belfast, BT96EX",9303,"Malone Lodge Hotel Belfast, 60, Eglantine Avenue, Belfast",0.5
4450,"Eglantine Lodge, 41 Eglantine Avenue, Belfast, BT96EW",9303,"Malone Lodge Hotel Belfast, 60, Eglantine Avenue, Belfast",0.5851
4535,"Clarion Collection Hotel Makeney Hall, Makeney, Milford MilfordBelperDerbyshire, Amber Valley, East Midlands, DE560RS",8267,"Makeney Hall Hotel, Makeney Road, Belper, Amber Valley, East Midlands, DE560RS",0.5857
4588,"Days Inn Michaelwood M5, M5 Motorway Junction 13/14 M5 J13/14 Northbound Lower WickWoodfordBerkeley, Stroud, South West, GL139JS",5143,"Days Inn, Bristol, Stroud, South West, GL139JS",0.5842
