orig_index,text,lat,long
4139,"MERCURE BEDFORD CENTRE HOTEL, 2 St Marys Street BedfordBedfordshire, East of England, MK420AR",52.13396,-0.466227
37456,"Belmont & Astoria Hotel, 100 & 104 Sussex Gardens PaddingtonLondonGreater London, Westminster, W21UH",51.51631165,-0.171020001
33729,"The Montclair, 95 Albert Road Blackpool, North West, FY14PW",53.81571,-3.04936
33793,"Ruskin Hotel, 55-61 Albert Road Blackpool, North West, FY14PW",53.81551,-3.05003
29666,"The Waterside Hotel, 19 Ness Bank Inverness, Highland, IV24SF",57.47297,-4.22722
33594,"Zebra Lodge Blackpool, 11 Charnley Road Blackpool, North West, FY14PE",53.81534,-3.04819
21054,"Grosvenor Gardens Hotel, 1 Grosvenor Gardens Edinburgh, City of Edinburgh, EH125JU",55.94673,-3.21973
33503,"The Arncliffe Hotel, 90-92 Adelaide Street Blackpool, North West, FY14LA",53.816565,-3.050249
37777,"The Darlington Hyde Park, 111 117 Sussex Gardens Paddington Paddingto London, NW22RU",51.515603,-0.171408
37560,"The Soho Hotel, 4 Richmond Mews Dean Street London, Westminster, W1D3DH",51.51413,-0.13364
6078,"Beachcliffe Holiday Apartments, 3 King Edward Avenue Blackpool, North West, FY29TD",53.83518,-3.05389
21755,"The Grosvenor, 23 Carnarvon Road Clacton-on-Sea, Tendring, East of England, CO156PH",51.79112,1.15593
17135,"Sella Park House Hotel, Calderbridge Cumbria, Cumberland, North West, CA201DW",54.43517,-3.49104
6158,"Ivanhoe Hotel, 13 Vance Road Blackpool, North West, FY14QD",53.81402,-3.05154
33766,"Beachcliffe Holiday Apartments, 3 King Edward Avenue Blackpool, North West, FY29TD",53.83518,-3.05389
7092,"Legacy Inn Bournemouth, GERVIS ROAD, 49 BOURNEMOUTH, BH13DE",50.7202608,-1.8641685
